No,Template,Correct Option Template,Wrong Options Template,Example Question,Option 1,Option 2,Option 3,Option 4,Reasoning Category,Cultural Aspect
1,"[ART 1] -> [PROVINCE 1]\n
[ART 2] -> ? ",[Province where [ART 2] originates from],[Provinces where [ART 2] does not originate from],"Tari Piring -> Padang\n
Tari Jaipong -> ?",Karawang,Aceh,Bali,Banyuwangi,Logical Reasoning,Music and Art
2,"[FAMOUS PERSON 1] ->  [FAMOUS PERSON 2]\n
[FAMOUS PERSON 2] -> ?",[Famous person who succeeded [FAMOUS PERSON 2]],[People who did not succeed [FAMOUS PERSON 2]],"Mohamed Naguib -> Gamal Abdel Nasser\n
Gamal Abdel Nasser ->  ?",Anwar El-Sadat,Mohamed Morsi,Hosni Mubarak,Adly Mansour,Logical Reasoning,"Famous People, Politics and Governance"
3,"Which of the following sequences correctly represents the order of [COUNTRY]'s presidents? 



",[The correct chronological sequence],[Incorrect chronological sequences with the same elements or different elements],Which of the following sequences correctly represents the order of Indonesia's presidents?,Soekarno → Soeharto → Habibie,Soeharto → Soekarno → Habibie,Soekarno → Habibie → Soeharto,Habibie → Soekarno → Soeharto,"Temporal Reasoning, Multi-hop Reasoning","Politics and Governance, Famous People"
4,"Among all the food here, which one is not originally from [CITY/COUNTRY]?",[Food not from the specified [CITY/COUNTRY]],[Foods that are from the specified [CITY/COUNTRY]],"Among all the food here, which one is not originally from Indonesia?",Shawarma,"Kerak Telor
",Ketoprak,Soto Betawi,Multi-hop Reasoning,Food and Cuisine
5,"[DANCE/ART 1] -> [FOOD 1]\n
[DANCE/ART 2] -> ?",[Food associated with the region of [DANCE/ART 2]],[Foods not associated with the region of [DANCE/ART 2]],"Tari Piring -> Masakan Padang\n
Tari Kecak -> ?",Sambal Matah,ketoprak,Gulak Jamun,Pempek,"Logical Reasoning, Multi-hop Reasoning","Music and Art, Food and Cuisine"
6,"[REGION 1] -> [ATTIRE REGION 1]\n
[REGION 2] -> ?",[Traditional attire of [REGION 2]],[Traditional attires not associated with [REGION 2]],"Java -> Batik and Kebaya\n
Bali -> ?",Payas Agung,Hanfu,Dhoti,Barong,Logical Reasoning,Material Culture
7,What is the name of the first child of the [Nth] president/leader of [COUNTRY]?,[The actual name of the first child],[Names of other children of the same leader or children of other presidents/leaders],What is the name of the first child of the 2nd president/leader of of Egypt?,Khaled Abdel Nasser,Gamal Mubarak,Osama Anwar Sadat,Ahmed Naguib,Multi-hop Reasoning,"Famous People, Politics and Governance"
8,Which of the following cities is the furthest from [CITY]?,[The city that is geographically furthest from [CITY]],[Cities that are geographically closer to [CITY]],Which of the following cities is the furthest from Aceh?,Ambon,Padang,Bandung,Madura,"Mathematical Reasoning, Multi-hop Reasoning, Spatial Reasoning",Landmarks and Architecture
9,"Who of the following [PRESIDENTS, SCIENTISTS, ACTRESSES, ACTORS, ETC] was born the earliest?",[The person with the earliest birth date],[People with later birth dates],Who of the following was born the earliest?,Anwar El-Sadat,Magdy Yacoub,Ahmed Zewail,Mohamed Salah,"Multi-hop Reasoning, Temporal Reasoning","Famous People, Politics and Governance"
10,Which of the following special days is the closest to [EVENT]?,[The special day closest to the [EVENT] date],[Special days that are further away from the [EVENT] date],"Which of the following special days is closest to Indonesia's independence day?""",Natal,Tahun baru masehi,Hari pahlawan,Hari kartini ,"Multi-hop Reasoning, Temporal Reasoning",Time
11,"Among all the provinces on the [SET OF PROVINCES/LOCATION], how many provinces have an area smaller than [PROVINCE]?",[The correct numerical sum of the provinces with areas smaller than [PROVINCE] in question],[Incorrect counts],"Among all the provinces in Canada, how many provinces have an area smaller than Quebec?",7,2,5,9,"Multi-hop Reasoning, Mathematical Reasoning",Landmarks and Architecture
12,"Given the following foods: [FOOD 1], [FOOD 2], [FOOD 3], [FOOD 4]. How many of them are [some classification]?",[The correct count of foods matching the classification],[Incorrect counts],"Given the following foods: cheeseburger, cornbread, buffalo wings, mac and cheese.
How many of these foods are vegetarian-friendly?",2,1,3,4,"Multi-hop Reasoning, Mathematical Reasoning",Food and Cuisine
13,"Among the following objects: [OBJECT 1], [OBJECT 2], [OBJECT 3], [OBJECT 4]. How many of them are a musical instrument?",[The correct count of musical instruments out of the objects],[Incorrect counts],"Among the following objects: guitar, baseball bat, trumpet, television. How many of them are a musical instrument?",2,3,1,4,"Mathematical Reasoning, Multi-hop Reasoning",Music and Art
